2023-03-23 19:10:44,974 INFO    MainThread:23981 [wandb_setup.py:_flush():68] Configure stats pid to 23981
2023-03-23 19:10:44,975 INFO    MainThread:23981 [wandb_setup.py:_flush():68] Loading settings from /home/public/.config/wandb/settings
2023-03-23 19:10:44,975 INFO    MainThread:23981 [wandb_setup.py:_flush():68] Loading settings from /home/public/xww/Exp/fldemo/fed_exp/wandb/settings
2023-03-23 19:10:44,975 INFO    MainThread:23981 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-23 19:10:44,975 INFO    MainThread:23981 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'fed_exp/main_fed.py', 'program': './main_fed.py'}
2023-03-23 19:10:44,975 INFO    MainThread:23981 [wandb_init.py:_log_setup():476] Logging user logs to /home/public/xww/Exp/fldemo/fed_exp/wandb/offline-run-20230323_191044-3ut2vl6k/logs/debug.log
2023-03-23 19:10:44,975 INFO    MainThread:23981 [wandb_init.py:_log_setup():477] Logging internal logs to /home/public/xww/Exp/fldemo/fed_exp/wandb/offline-run-20230323_191044-3ut2vl6k/logs/debug-internal.log
2023-03-23 19:10:44,975 INFO    MainThread:23981 [wandb_init.py:init():516] calling init triggers
2023-03-23 19:10:44,975 INFO    MainThread:23981 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'model': 'cnn', 'dataset': 'fmnist', 'client_num_in_total': 100, 'local_bs': 128, 'lr': 0.001, 'comm_round': 200, 'frequency_of_the_test': 1, 'gpu': 0, 'budget_per_round': 20.0, 'seed': 20221205, 'draw': True, 'fed_name': 'Fed3', 'iid': False, 'uniform': False, 'momentum': 0.5, 'device': device(type='cuda', index=0)}
2023-03-23 19:10:44,975 INFO    MainThread:23981 [wandb_init.py:init():569] starting backend
2023-03-23 19:10:44,975 INFO    MainThread:23981 [wandb_init.py:init():573] setting up manager
2023-03-23 19:10:44,978 INFO    MainThread:23981 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-23 19:10:44,980 INFO    MainThread:23981 [wandb_init.py:init():580] backend started and connected
2023-03-23 19:10:44,984 INFO    MainThread:23981 [wandb_init.py:init():658] updated telemetry
2023-03-23 19:10:45,000 INFO    MainThread:23981 [wandb_init.py:init():728] starting run threads in backend
2023-03-23 19:10:46,881 INFO    MainThread:23981 [wandb_run.py:_console_start():1980] atexit reg
2023-03-23 19:10:46,882 INFO    MainThread:23981 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-03-23 19:10:46,882 INFO    MainThread:23981 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-03-23 19:10:46,882 INFO    MainThread:23981 [wandb_run.py:_redirect():1925] Redirects installed.
2023-03-23 19:10:46,883 INFO    MainThread:23981 [wandb_init.py:init():765] run started, returning control to user process
2023-03-23 19:30:09,648 WARNING MsgRouterThr:23981 [router.py:message_loop():77] message_loop has been closed
