2023-03-06 11:53:12,455 INFO    MainThread:35089 [wandb_setup.py:_flush():68] Configure stats pid to 35089
2023-03-06 11:53:12,456 INFO    MainThread:35089 [wandb_setup.py:_flush():68] Loading settings from /home/public/.config/wandb/settings
2023-03-06 11:53:12,456 INFO    MainThread:35089 [wandb_setup.py:_flush():68] Loading settings from /home/public/xww/Exp/fldemo/fed_exp/wandb/settings
2023-03-06 11:53:12,456 INFO    MainThread:35089 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-06 11:53:12,456 INFO    MainThread:35089 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'fed_exp/main_fed.py', 'program': './main_fed.py'}
2023-03-06 11:53:12,456 INFO    MainThread:35089 [wandb_init.py:_log_setup():476] Logging user logs to /home/public/xww/Exp/fldemo/fed_exp/wandb/offline-run-20230306_115312-1u0dco3l/logs/debug.log
2023-03-06 11:53:12,456 INFO    MainThread:35089 [wandb_init.py:_log_setup():477] Logging internal logs to /home/public/xww/Exp/fldemo/fed_exp/wandb/offline-run-20230306_115312-1u0dco3l/logs/debug-internal.log
2023-03-06 11:53:12,456 INFO    MainThread:35089 [wandb_init.py:init():516] calling init triggers
2023-03-06 11:53:12,456 INFO    MainThread:35089 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'model': 'cnn', 'dataset': 'fmnist', 'client_num_in_total': 100, 'local_bs': 128, 'lr': 0.0005, 'comm_round': 200, 'frequency_of_the_test': 1, 'gpu': 0, 'budget_per_round': 100.0, 'seed': 20221205, 'draw': True, 'fed_name': 'Fed3', 'iid': True, 'uniform': True, 'momentum': 0.5, 'device': device(type='cuda', index=0)}
2023-03-06 11:53:12,456 INFO    MainThread:35089 [wandb_init.py:init():569] starting backend
2023-03-06 11:53:12,456 INFO    MainThread:35089 [wandb_init.py:init():573] setting up manager
2023-03-06 11:53:12,460 INFO    MainThread:35089 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-06 11:53:12,462 INFO    MainThread:35089 [wandb_init.py:init():580] backend started and connected
2023-03-06 11:53:12,466 INFO    MainThread:35089 [wandb_init.py:init():658] updated telemetry
2023-03-06 11:53:12,482 INFO    MainThread:35089 [wandb_init.py:init():728] starting run threads in backend
2023-03-06 11:53:14,281 INFO    MainThread:35089 [wandb_run.py:_console_start():1980] atexit reg
2023-03-06 11:53:14,282 INFO    MainThread:35089 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-03-06 11:53:14,282 INFO    MainThread:35089 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-03-06 11:53:14,282 INFO    MainThread:35089 [wandb_run.py:_redirect():1925] Redirects installed.
2023-03-06 11:53:14,283 INFO    MainThread:35089 [wandb_init.py:init():765] run started, returning control to user process
2023-03-06 12:38:20,278 WARNING MsgRouterThr:35089 [router.py:message_loop():77] message_loop has been closed
